Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/21/2022,02/21/2022,MED*BOULDER MEDICAL CTR,Health & Wellness,Sale,-219.11,
02/17/2022,02/20/2022,SOUTHWES    5261484849719,Travel,Sale,-11.20,
02/17/2022,02/20/2022,SOUTHWES    5261484836135,Travel,Sale,-11.20,
02/18/2022,02/20/2022,TST* TEOCALLI,Food & Drink,Sale,-75.97,
02/16/2022,02/18/2022,SOUTHWES    5261471836924,Travel,Return,11.20,
02/14/2022,02/16/2022,COUNTY LINE WINE &amp; SPIRIT,Food & Drink,Sale,-29.78,
02/14/2022,02/15/2022,APPLE.COM/BILL,Entertainment,Sale,-0.99,
02/13/2022,02/15/2022,THE HOME DEPOT 1548,Home,Sale,-129.12,
02/11/2022,02/13/2022,GOOGLE*DOMAINS,Shopping,Sale,-12.00,
02/12/2022,02/13/2022,SQ *CELLAR WEST ARTISAN A,Food & Drink,Sale,-39.60,
02/10/2022,02/11/2022,ATLAS VALLEY PURVEYORS,Health & Wellness,Sale,-79.77,
02/08/2022,02/10/2022,TOWN OF ERIE UTILITIES,Bills & Utilities,Sale,-81.05,
02/09/2022,02/10/2022,COSTCO GAS #0629,Gas,Sale,-18.38,
02/09/2022,02/10/2022,COSTCO WHSE #0629,Shopping,Sale,-159.82,
02/09/2022,02/10/2022,SQ *HAPPY PAWS VETERINARY,Personal,Sale,-211.60,
02/09/2022,02/09/2022,Payment Thank You - Web,,Payment,1500.00,
02/07/2022,02/08/2022,COBBLESTONE CAR WASH,Automotive,Sale,-19.99,
02/07/2022,02/08/2022,ATLAS VALLEY PURVEYORS,Health & Wellness,Sale,-26.92,
02/06/2022,02/07/2022,KING SOOPERS 0729 FUEL,Gas,Sale,-42.90,
02/06/2022,02/07/2022,TST* CLUCK-N-BURGER - COL,Food & Drink,Sale,-7.50,
02/05/2022,02/07/2022,24 CARROT BISTRO,Food & Drink,Sale,-63.62,
02/05/2022,02/07/2022,SPIRIT HOUND DISTILLERS,Food & Drink,Sale,-108.11,
02/04/2022,02/06/2022,QUIRKY HOMEBREW SUPPLY,Home,Sale,-5.38,
02/04/2022,02/06/2022,QUIRKY HOMEBREW SUPPLY,Home,Sale,-109.12,
02/04/2022,02/06/2022,TST* WESTBOUND AND DOWN -,Food & Drink,Sale,-45.11,
02/03/2022,02/04/2022,MORRELL PRINTING SOLUTION,Shopping,Sale,-179.61,
02/01/2022,02/02/2022,CKO*Patreon* Membership,Entertainment,Sale,-1.00,
01/31/2022,02/02/2022,WENDY'S  4035,Food & Drink,Sale,-4.43,
01/30/2022,02/01/2022,TOPGOLF CENTENNIAL 020-2,Food & Drink,Sale,-187.96,
01/30/2022,01/31/2022,IKEA CENTENNIAL,Home,Sale,-126.96,
01/31/2022,01/31/2022,CCDCLERK&amp;RECORDERONLIN,Bills & Utilities,Sale,-2.00,
01/30/2022,01/31/2022,CKO*Patreon* Membership,Entertainment,Sale,-1.00,
01/31/2022,01/31/2022,CCDCLERK&amp;RECORDERONLIN,Bills & Utilities,Sale,-2.00,
01/30/2022,01/31/2022,TST* CITYO MAKEBELIEVE,Food & Drink,Sale,-27.30,
01/31/2022,01/31/2022,CCDCLERK&amp;RECORDERONLIN,Bills & Utilities,Sale,-0.25,
01/30/2022,01/31/2022,SAZON,Food & Drink,Sale,-57.52,
01/28/2022,01/30/2022,THE HOME DEPOT 1548,Home,Sale,-32.97,
01/29/2022,01/30/2022,Payment Thank You - Web,,Payment,2525.18,
01/28/2022,01/30/2022,COSTCO WHSE #0629,Shopping,Sale,-177.57,
01/28/2022,01/30/2022,SQ *CELLAR WEST ARTISAN A,Food & Drink,Sale,-36.53,
01/29/2022,01/30/2022,TST* GHOST BOX,Food & Drink,Sale,-65.73,
01/28/2022,01/30/2022,HEALTHY PAWS PET INSURAN,Bills & Utilities,Sale,-36.55,
01/28/2022,01/30/2022,COSTCO GAS #0629,Gas,Sale,-46.41,
01/28/2022,01/28/2022,BOUTIQUE RUGS LLC,Home,Sale,-279.65,
01/27/2022,01/28/2022,COUNTY LINE WINE &amp; SPIRIT,Food & Drink,Sale,-28.71,
01/27/2022,01/28/2022,LLBEAN-DIRECT,Shopping,Sale,-26.33,
01/26/2022,01/28/2022,DELTA DENTAL OF CO,Bills & Utilities,Sale,-123.75,
01/25/2022,01/26/2022,UNITED POWER  INC.,Bills & Utilities,Sale,-82.70,
01/23/2022,01/24/2022,BRECKENRIDGE DISTILLERY -,Food & Drink,Sale,-288.44,
01/22/2022,01/24/2022,MELANZANA,Shopping,Sale,-180.19,
01/21/2022,01/23/2022,GOOGLE *Domains,Shopping,Sale,-12.00,
01/22/2022,01/23/2022,BRECKENRIDGE DISTILLERY -,Food & Drink,Sale,-163.31,
01/19/2022,01/20/2022,NORDSTROM DIRECT #0808,Shopping,Sale,-105.25,
01/19/2022,01/19/2022,Payment Thank You - Web,,Payment,3000.00,
01/18/2022,01/19/2022,SQ *PAINTED MANE,Personal,Sale,-80.00,
01/16/2022,01/18/2022,SOUTHWES    5261471836924,Travel,Sale,-11.20,
01/16/2022,01/18/2022,SOUTHWES    5261471817088,Travel,Sale,-189.98,
01/16/2022,01/18/2022,SOUTHWES    5261471821120,Travel,Sale,-5.60,
01/17/2022,01/18/2022,POINTS RAPID REWARDS,Personal,Sale,-72.00,
01/16/2022,01/18/2022,SOUTHWES    5261471819480,Travel,Sale,-22.00,
01/16/2022,01/17/2022,COSTCO WHSE #0629,Shopping,Sale,-124.82,
01/16/2022,01/17/2022,COSTCO WHSE #0629,Shopping,Return,16.28,
01/16/2022,01/17/2022,DOR BUSINESS EXPRESS,Bills & Utilities,Sale,-68.25,
01/15/2022,01/17/2022,SWEET COW LOUISVILLE,Food & Drink,Sale,-12.86,
01/15/2022,01/16/2022,APPLE.COM/BILL,Entertainment,Sale,-0.99,
01/14/2022,01/16/2022,SQ *GRAVITY BREWING,Food & Drink,Sale,-25.20,
01/15/2022,01/16/2022,ATLAS VALLEY PURVEYORS,Health & Wellness,Sale,-96.86,
01/14/2022,01/16/2022,BEST BUY      00014167,Shopping,Return,668.55,
01/13/2022,01/14/2022,COSTCO GAS #0629,Gas,Sale,-27.40,
01/13/2022,01/14/2022,COSTCO WHSE #0629,Shopping,Sale,-186.72,
01/13/2022,01/14/2022,CO MOTOR VEH SERV EMV,Bills & Utilities,Sale,-71.85,
01/13/2022,01/14/2022,COSTCO WHSE #0629,Shopping,Sale,-124.76,
01/13/2022,01/14/2022,BESTBUYCOM806569572530,Shopping,Sale,-3132.62,
01/12/2022,01/13/2022,TST* TEOCALLI,Food & Drink,Sale,-114.71,
